logFC	logCPM	PValue	FDR
Saci_0797	-0.920210092006932	11.2091611063901	0.0257404744608017	0.136686048874738
Saci_1357	-0.679839051665845	12.5898950148752	0.0263723796384675	0.139296664792544
Saci_0266	-0.696001351257617	9.24574988875869	0.0267702529821336	0.139781221534755
Saci_1366	-1.04555410783939	6.63800534221549	0.0268716288143302	0.139781221534755
Saci_0107	0.790778441422025	7.47486007118645	0.026886418240824	0.139781221534755
Saci_1770	-0.827185277012607	7.33733579479314	0.0272799841755869	0.140567420498726
Saci_2137	0.887511484694641	7.71414696983255	0.0273207574584633	0.140567420498726
Saci_0818	-0.830407859784974	9.61354145021633	0.0275907942448273	0.141225044768626
Saci_1656	-0.67999711517344	11.3457909900731	0.0279350178454127	0.142253706258948
Saci_0341	-0.678272776546426	10.5220309638233	0.0282603373350206	0.143176096804467
Saci_0836	-0.676395677141645	9.70334864546684	0.0286730864755087	0.143847121477067
Saci_2310	-0.783882675198274	15.752826361692	0.0286825076056991	0.143847121477067
Saci_1645	0.700800835361684	8.56921817323496	0.0296365392301389	0.147884841485065
Saci_0721	-0.902851124212795	9.85646196589249	0.0302081344626941	0.149983387607276
Saci_1182	0.696508996933547	8.78470013000127	0.0307738350930558	0.152031931579127
Saci_0370	-0.765109106028791	7.82411646651601	0.0315196791490482	0.154945749480222
Saci_1040	-0.640393233144487	8.7670945056886	0.0318041010292656	0.155573755281087
Saci_1859	0.798170334504978	7.35254544443074	0.0323135941845633	0.157291171692506
Saci_1565	-0.685857737640968	10.3046701247752	0.0325473627233072	0.157656249679239
Saci_0315	0.823458187334869	7.38530615679058	0.03388871275467	0.163356756142657
Saci_1725	0.6888448070105	8.18860225896161	0.0342330654030017	0.163436185290274
Saci_0529	-0.723081628814876	10.1276343649249	0.034283755374803	0.163436185290274
Saci_1058	-0.644054758261737	8.74333995655748	0.0343989554135623	0.163436185290274
Saci_0988	-0.667135268171516	11.4359780626066	0.0350263026325659	0.165624373876847
Saci_0491	0.826178857260675	7.74346710097892	0.0354286911637026	0.166733129505008
Saci_0731	0.650752517151574	9.32205618906202	0.035677045996714	0.167109937144986
Saci_1228	-0.707850254711089	11.9906722522421	0.0360295001311035	0.167968514695708
Saci_0042	0.717617660275362	8.76327495745831	0.036672606227383	0.17016774758781
Saci_0327	-0.703625468556589	7.52277932491991	0.0368693374204351	0.170284893295312
Saci_1415	-0.681318348979875	8.83711572452713	0.0370932477538922	0.170525902868588
Saci_0933	-0.632223680810479	10.3730529422553	0.0373545398483094	0.170935751471757
Saci_1641	0.674134931619253	12.8692138889729	0.0385792543631919	0.175730273314906
Saci_1757	0.754708998642465	7.73311282764155	0.0388867021350358	0.176321895982149
Saci_1193	0.679907936276383	10.6098851767506	0.0392297634470105	0.176457951918417
Saci_1672	-0.663178917274048	9.82143928563826	0.0392721121590837	0.176457951918417
Saci_0372	-0.641954711649296	10.5119382161281	0.0396916907366645	0.177225681241971
Saci_1477	-0.685336619459903	9.41113487389421	0.0397999264017719	0.177225681241971
Saci_0380	-0.668009531823043	10.5908339242979	0.040390702180168	0.17843753598953
Saci_2228	-0.647127707075931	13.151556638962	0.0404557782393862	0.17843753598953
Saci_1541	-0.614949059567911	9.41070972564008	0.040611161262471	0.17843753598953
Saci_1271	-0.726495950144206	7.99740502934459	0.0417958817773421	0.18283396742247
Saci_1573	-0.817428778961717	10.6515876977018	0.0420313147809153	0.183057436743197
Saci_1192	-0.642349332047385	10.075979891597	0.0425285817325315	0.184414330394776
Saci_1701	0.74427794120851	7.70791621676526	0.043593573752474	0.188210516244377
Saci_1289	-0.638193477847443	11.6235830623576	0.0439529585118594	0.188940639836694
Saci_0302	-0.780350325320027	9.11728799241155	0.044309914927648	0.189654075530838
Saci_2257	0.73961669152113	7.92075140238187	0.0446634395953754	0.19034676188072
Saci_1944	0.848029552865049	7.56436936582909	0.0449904436258783	0.19092098513033
Saci_1755	0.873469288449879	7.15296555368789	0.0457465919735256	0.193303684381749
